ID,name,cre_id,lat,lng,regular,premium,diesel
2039,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",PL/658/EXP/ES/2015,32.47641,-116.9214,,25.29,
2040,"LAS MEJORES ESTACIONES, S.A DE C.V",PL/902/EXP/ES/2015,20.3037,-99.74484,24.55,,
2041,"DIAZ GAS, S.A. DE C.V.",PL/760/EXP/ES/2015,31.71947,-106.4514,18.54,,
2042,"COMBU-EXPRESS, S.A. DE C.V.",PL/825/EXP/ES/2015,20.71413,-103.3042,,26.64,
2043,"PETROMAX, S.A. DE C.V.",PL/585/EXP/ES/2015,26.03787,-98.29977,,,16.41
2044,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/842/EXP/ES/2015,32.51342,-117.0715,23.99,,
2045,MULTISERVICIOS LA PILARICA SA DE CV ,PL/371/EXP/ES/2015,25.7558,-108.9685,25.61,,
2046,"PETROMAX, S.A. DE C.V.",PL/439/EXP/ES/2015,25.77202,-100.2918,23.79,,
2047,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/860/EXP/ES/2015,31.86546,-116.6079,,,24.39
2048,"ESTACION PIRU, S.A. DE C.V.",PL/897/EXP/ES/2015,32.31202,-117.0457,22.99,,
2049,"PETROMAX, S.A. DE C.V.",PL/561/EXP/ES/2015,25.65562,-100.184,,27.49,
2050,AUTOSERVICIO BERLANGA S.A. DE C.V.,PL/797/EXP/ES/2015,26.92554,-101.4189,23.19,,
2051,"PETROMAX, S.A. DE C.V.",PL/583/EXP/ES/2015,25.83842,-97.44485,18.39,,
2052,"GRUPO OCTANO, S.A. DE C.V.",PL/366/EXP/ES/2015,21.4739,-105.1947,25.49,,
2053,"CIRCULO DOS, S.A. DE C.V.",PL/635/EXP/ES/2015,32.5279,-117.0271,,25.99,
2054,"Servicio Sevilla, S.A. de C.V.",PL/868/EXP/ES/2015,19.58616,-99.1973,24.19,,
2055,"PETROMAX, S.A. DE C.V.",PL/558/EXP/ES/2015,25.6788,-100.2365,,27.49,
2056,"GASOLINERA HUITEPEC, S.A. DE C.V.",PL/887/EXP/ES/2015,16.73187,-92.65437,,25.7,
2057,"PETROMAX, S.A. DE C.V.",PL/454/EXP/ES/2015,26.0139,-98.20425,,22.99,
2058,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",PL/890/EXP/ES/2015,24.02956,-104.6217,24.69,,
2059,SERVICIO SIERRA DE ARTEAGA SA DE CV,PL/756/EXP/ES/2015,25.57358,-100.9057,23.99,,
2060,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,PL/795/EXP/ES/2015,28.73367,-106.1008,,24.8,
2061,"GRUPO OCTANO, S.A. DE C.V.",PL/505/EXP/ES/2015,19.77838,-103.9754,25.69,,
2062,Becktrop Operadora SA de CV,PL/708/EXP/ES/2015,32.45102,-117.0249,,24.99,
2063,YLIGARZA S.A. DE C.V.,PL/562/EXP/ES/2015,25.73174,-100.2726,,27.25,
2064,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/636/EXP/ES/2015,32.53171,-117.0466,,25.99,
2065,"PETROMAX, S.A. DE C.V.",PL/516/EXP/ES/2015,25.68592,-100.4652,,27.49,
2066,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/638/EXP/ES/2015,32.51045,-117.0226,,25.99,
2067,"PETROMAX, S.A. DE C.V.",PL/538/EXP/ES/2015,25.66026,-100.1466,,27.49,
2068,"PETROMAX, S.A. DE C.V.",PL/619/EXP/ES/2015,25.44151,-100.9274,23.99,,
2069,"PETROMAX, S.A. DE C.V.",PL/443/EXP/ES/2015,26.06297,-98.32712,20.29,,
2070,RAMCAL SA DE CV,PL/689/EXP/ES/2015,19.03549,-104.2109,24.39,,
2071,"Gasomac, S.A. de C.V.",PL/650/EXP/ES/2015,19.3231,-99.13844,23.18,,
2072,"Autoconsumo los Pinos, S.A. de C.V. ",PL/866/EXP/ES/2015,19.30205,-99.16505,,26.39,
2073,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/380/EXP/ES/2015,25.77298,-109.0001,25.65,,
2074,"PETROMAX, S.A. DE C.V.",PL/764/EXP/ES/2015,25.2563,-101.1169,,26.99,
2075,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/851/EXP/ES/2015,22.12339,-102.2834,24.85,,
2076,OLEUM GAS S.A. DE C.V.,PL/754/EXP/ES/2015,16.73384,-93.09296,,24.37,
2077,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/397/EXP/ES/2015,25.96616,-109.2961,24.55,,
2078,"Gasolinería Cid, S.A. de C.V.",PL/823/EXP/ES/2015,19.64046,-99.36308,,25.29,
2079,"Gasolinería Perseo, S.A. de C.V.",PL/627/EXP/ES/2015,19.74912,-99.11606,,25.39,
2080,MULTISERVICIOS LA PILARICA SA DE CV ,PL/408/EXP/ES/2015,25.9744,-109.2856,,26.45,
2081,"PETROMAX, S.A. DE C.V.",PL/580/EXP/ES/2015,26.06025,-98.35571,,22.99,
2082,"PETROMAX, S.A. DE C.V.",PL/489/EXP/ES/2015,25.7805,-100.1759,,27.49,
2083,"PETROMAX, S.A. DE C.V.",PL/465/EXP/ES/2015,20.73139,-103.4519,,26.69,
2084,"SERVICIO AVENIDA, S.A. DE C.V.",PL/724/EXP/ES/2015,21.89668,-102.3053,23.68,,
2085,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/829/EXP/ES/2015,21.09879,-101.6677,22.45,,
2086,"PETROMAX, S.A. DE C.V.",PL/584/EXP/ES/2015,32.63511,-115.3865,22.69,,
2087,"ESTACION DE SERVICIO PITS, S. DE R.L. DE C.V.",PL/710/EXP/ES/2015,32.49946,-116.7158,,24.99,
2088,GRUPO GOCALVI SA DE CV,PL/858/EXP/ES/2015,31.5649,-106.3973,18.39,,
2089,"Socombumex, S.A. de C.V.",PL/690/EXP/ES/2015,19.07791,-104.288,,,25.79
2090,"Gasolinería Segovia, S.A. de C.V.",PL/699/EXP/ES/2015,19.60755,-98.99508,,26.59,
2091,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394),PL/786/EXP/ES/2015,31.7838,-116.5917,,23.99,
2092,MULTISERVICIOS LA PILARICA SA DE CV ,PL/402/EXP/ES/2015,25.80147,-108.9855,,26.65,
2093,"GRUPO OCTANO, S.A. DE C.V.",PL/405/EXP/ES/2015,19.79169,-100.9704,24.14,,
2094,"PETROMAX, S.A. DE C.V.",PL/590/EXP/ES/2015,25.82625,-100.2963,25.99,,
2095,"GRUPO OCTANO, S.A. DE C.V.",PL/417/EXP/ES/2015,21.52222,-104.8868,25.19,,
2096,"Inmobiliaria Corredor Tultitlán, S.A. de C.V. ",PL/820/EXP/ES/2015,19.67871,-99.10838,23.99,,
2097,"PETROMAX, S.A. DE C.V.",PL/601/EXP/ES/2015,32.60843,-115.4722,,,24.39
2098,"PETROMAX, S.A. DE C.V.",PL/553/EXP/ES/2015,19.63609,-99.10677,,25.99,
2099,"GRUPO OCTANO, S.A. DE C.V.",PL/373/EXP/ES/2015,21.47011,-104.8489,,26.19,
2100,"PETROMAX, S.A. DE C.V.",PL/451/EXP/ES/2015,25.73217,-100.2104,23.99,,
2101,"CRUCERO LAS GOLONDRINAS,SA DE CV",PL/892/EXP/ES/2015,19.14014,-103.7721,23.99,,
2102,Becktrop Operadora SA de CV,PL/707/EXP/ES/2015,32.49127,-116.953,22.99,,
2103,"PETROMAX, S.A. DE C.V.",PL/594/EXP/ES/2015,25.70155,-100.1302,,27.39,
2104,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/660/EXP/ES/2015,32.51104,-116.9663,,25.99,
2105,"GRUPO OCTANO, S.A. DE C.V.",PL/365/EXP/ES/2015,21.54249,-105.2828,25.49,,
2106,ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV,PL/845/EXP/ES/2015,21.91625,-102.2924,,25.68,
2107,"SERVICIO CIBOLA, S.A. DE C.V.",PL/685/EXP/ES/2015,29.30929,-100.9351,20.39,,
2108,"PETROMAX, S.A. DE C.V.",PL/577/EXP/ES/2015,25.53419,-103.3228,23.19,,
2109,MULTISERVICIOS SIGAS S.A. DE C.V.,PL/655/EXP/ES/2015,22.14957,-102.4106,23.9,,
2110,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/374/EXP/ES/2015,25.73669,-109.0138,25.65,,
2111,"PETROMAX, S.A. DE C.V.",PL/592/EXP/ES/2015,26.04917,-98.38633,20.29,,
2112,"Servicio Vega Atizapan, S.A. de C.V.",PL/879/EXP/ES/2015,19.55827,-99.25086,,26.19,
2113,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/686/EXP/ES/2015,32.50455,-116.977,22.29,,
2114,"PETROMAX, S.A. DE C.V.",PL/571/EXP/ES/2015,25.72328,-100.1915,,27.49,
2115,"ESTACION RAMOS, S.A. DE C.V.",PL/812/EXP/ES/2015,25.52635,-100.941,,25.75,
2116,"PETROMAX, S.A. DE C.V.",PL/477/EXP/ES/2015,25.85833,-97.53786,18.59,,
2117,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/841/EXP/ES/2015,21.12003,-101.6691,,25.99,
2118,"GRUPO OCTANO, S.A. DE C.V.",PL/497/EXP/ES/2015,19.90187,-100.7924,24.64,,
2119,"PETROMAX, S.A. DE C.V.",PL/517/EXP/ES/2015,25.64484,-100.1696,23.79,,
2120,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/833/EXP/ES/2015,31.27435,-110.93,19.29,,
2121,"PETROMAX, S.A. DE C.V.",PL/427/EXP/ES/2015,25.67366,-100.3682,26.49,,
2122,"PETROMAX, S.A. DE C.V.",PL/492/EXP/ES/2015,25.71746,-100.1685,,,16.51
2123,SERVICIO DEL CENTRO HIDALGO SA DE CV ,PL/774/EXP/ES/2015,20.94723,-101.4349,24.29,,
2124,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/639/EXP/ES/2015,32.53289,-117.0602,23.99,,
2125,AMC COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PL/779/EXP/ES/2015,26.91485,-101.4206,23.18,,
2126,"SERVICIO RAMA, S.A. DE C.V.",PL/796/EXP/ES/2015,28.70405,-100.5448,,21.09,
2127,"PETROMAX, S.A. DE C.V.",PL/448/EXP/ES/2015,25.81873,-100.2944,25.99,,
2128,Servicio Ravello S.A de C.V.,PL/792/EXP/ES/2015,32.49886,-116.917,22.75,,
2129,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/849/EXP/ES/2015,32.63718,-115.3992,21.99,,
2130,"PETROMAX, S.A. DE C.V.",PL/490/EXP/ES/2015,28.65146,-106.0694,,25.59,
2131,"INMOBILIARIA ANADECA, S.A. DE C.V.",PL/680/EXP/ES/2015,32.51353,-117.1202,,25.99,
2132,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/413/EXP/ES/2015,25.81053,-109.0028,,26.65,
2133,MARA ESTACION DE SERVICIOS SA DE CV,PL/766/EXP/ES/2015,21.89202,-102.2631,,25.17,
2134,"GRUPO OCTANO, S.A. DE C.V.",PL/617/EXP/ES/2015,21.49442,-104.8968,25.19,,
2135,SERVICIO OROZCO SA DE CV,PL/713/EXP/ES/2015,23.82137,-99.12276,24.49,,
2136,Servicio Puerta de Hierro S.A. de C.V.,PL/770/EXP/ES/2015,19.25796,-103.7087,24.29,,
2137,"Gasolinería Real Madeira, S.A. de C.V.",PL/835/EXP/ES/2015,19.57863,-99.02091,23.99,,
2138,"PETROMAX, S.A. DE C.V.",PL/476/EXP/ES/2015,25.43487,-100.9133,23.99,,
2139,"PETROMAX, S.A. DE C.V.",PL/483/EXP/ES/2015,26.06835,-98.31638,,22.99,
2140,"Inmobiliaria Socor, S.A. de C.V.",PL/630/EXP/ES/2015,19.71715,-99.13939,,25.89,
2141,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/394/EXP/ES/2015,32.59509,-115.5029,22.59,,
2142,"Gasolinería Itálica, S.A. de C.V.",PL/632/EXP/ES/2015,19.53231,-99.2491,,26.19,
2143,"Super Servicio Cumbre, S.A. de C.V.",PL/853/EXP/ES/2015,18.90457,-99.21558,23.99,,
